鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
橫山鄉,豐鄉村,54,39931,739,429,290,833,"1179.84","159.55"
橫山鄉,豐田村,87,62270,716,548,321,804,"743.75","103.91"
橫山鄉,其他,0,0,0,0,0,0,"0.00","0.00"
橫山鄉,合計,3220,2403592,746,563,360,928,"700.73","93.87"
新豐鄉,重興村,1611,1282796,796,602,388,962,"1188.00","149.19"
新豐鄉,新豐村,578,396824,687,517,336,849,"775.08","112.90"
新豐鄉,埔和村,817,548681,672,532,370,847,"510.47","76.01"
新豐鄉,員山村,914,870789,953,717,427,1216,"928.05","97.41"
新豐鄉,後湖村,481,365062,759,593,365,942,"629.13","82.89"
新豐鄉,鳳坑村,298,209849,704,551,330,913,"595.90","84.62"
新豐鄉,中崙村,1110,870810,785,636,403,1008,"574.58","73.24"
新豐鄉,青埔村,506,378693,748,574,381,932,"588.91","78.69"
新豐鄉,上坑村,479,364915,762,568,370,908,"703.22","92.31"
新豐鄉,坡頭村,220,136390,620,498,344,778,"502.58","81.07"
新豐鄉,福興村,318,248879,783,583,370,954,"712.30","91.01"
新豐鄉,松林村,1688,1665084,986,746,434,1302,"843.71","85.53"
新豐鄉,瑞興村,541,405720,750,586,365,931,"751.64","100.23"
新豐鄉,忠孝村,1334,1287998,966,759,441,1231,"821.93","85.13"
新豐鄉,山崎村,1464,1380163,943,710,424,1249,"880.56","93.41"
新豐鄉,松柏村,1830,1934396,1057,886,474,1412,"830.46","78.56"
新豐鄉,崎頂村,929,704121,758,604,391,967,"568.96","75.07"
新豐鄉,其他,6,3214,536,410,356,754,"255.55","47.71"
新豐鄉,合計,15124,13054384,863,652,400,1096,"823.45","95.40"
芎林鄉,華龍村,113,83886,742,550,358,995,"611.73","82.40"
芎林鄉,五龍村,160,123736,773,595,403,889,"821.81","106.27"
芎林鄉,秀湖村,329,263073,800,563,355,938,"815.94","102.04"
芎林鄉,永興村,119,91891,772,542,352,802,"807.72","104.60"
芎林鄉,石潭村,841,670851,798,567,356,949,"838.54","105.12"
芎林鄉,新鳳村,461,377820,820,591,365,979,"829.54","101.22"
芎林鄉,中坑村,172,125142,728,590,379,866,"537.45","73.87"
芎林鄉,水坑村,189,142664,755,570,399,987,"551.58","73.07"
芎林鄉,文林村,817,741224,907,649,400,1128,"853.39","94.06"
芎林鄉,芎林村,492,434063,882,646,391,1118,"876.25","99.32"
芎林鄉,上山村,1419,1848746,1303,764,432,1507,"2764.17","212.16"
芎林鄉,下山村,358,333171,931,653,386,1145,"1001.04","107.56"
芎林鄉,其他,0,0,0,0,0,0,"0.00","0.00"
芎林鄉,合計,5470,5236268,957,636,388,1128,"1592.30","166.34"
寶山鄉,新城村,338,236042,698,555,337,859,"598.57","85.71"
寶山鄉,寶山村,269,330027,1227,703,368,1248,"1948.66","158.83"
寶山鄉,雙溪村,818,929106,1136,679,398,1232,"2085.14","183.58"
寶山鄉,深井村,220,169471,770,630,407,934,"577.71","75.00"
寶山鄉,三峰村,298,700984,2352,867,411,2428,"3796.01","161.37"
寶山鄉,寶斗村,212,139335,657,532,297,835,"537.75","81.82"
寶山鄉,大崎村,727,1457470,2005,1089,487,2479,"3604.18","179.78"
寶山鄉,油田村,145,94063,649,506,298,813,"628.13","96.83"
寶山鄉,山湖村,166,202127,1218,569,317,1179,"2112.60","173.50"
寶山鄉,雙新村,922,1104154,1198,747,411,1429,"1352.93","112.97"
寶山鄉,其他,0,0,0,0,0,0,"0.00","0.00"
