鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中山區,民治里,241,159774,663,540,346,836,488.42,73.67
中山區,中興里,387,315838,816,597,380,979,754.02,92.39
中山區,仁正里,244,168277,690,558,346,898,576.48,83.59
中山區,健民里,313,206939,661,533,344,834,532.57,80.55
中山區,通化里,277,183940,664,534,338,796,612.55,92.25
中山區,居仁里,374,257825,689,521,354,815,1000.63,145.15
中山區,通明里,489,345559,707,563,349,905,574.38,81.28
中山區,協和里,465,356992,768,567,382,995,612.65,79.80
中山區,文化里,283,202040,714,552,336,938,571.89,80.10
中山區,和平里,145,115909,799,643,420,1103,524.37,65.60
中山區,仙洞里,167,115823,694,561,331,836,583.29,84.10
中山區,太白里,265,199424,753,597,373,978,666.10,88.51
中山區,西榮里,187,131546,703,503,338,813,622.04,88.43
中山區,西華里,294,196636,669,494,345,882,512.66,76.65
中山區,西定里,248,175556,708,519,331,834,713.16,100.74
中山區,西康里,384,253231,659,554,344,871,457.51,69.38
中山區,德和里,2013,1761102,875,641,382,1145,786.95,89.95
中山區,德安里,1259,1019587,810,609,387,1028,703.31,86.85
中山區,中和里,1834,1416369,772,583,364,966,932.50,120.75
中山區,和慶里,1963,1302133,663,556,348,853,462.35,69.70
中山區,其他,0,0,0,0,0,0,0.00,0.00
中山區,合計,12908,9645331,747,572,360,947,694.91,93.00
安樂區,嘉仁里,996,679468,682,536,338,827,593.04,86.93
安樂區,樂一里,162,101450,626,533,356,767,477.08,76.18
安樂區,定國里,299,203191,680,553,363,819,508.79,74.87
安樂區,安和里,290,221642,764,576,367,910,705.86,92.36
安樂區,定邦里,327,229604,702,534,334,869,672.94,95.84
安樂區,永康里,605,429671,710,556,363,851,597.79,84.17
安樂區,慈仁里,282,178292,632,510,347,833,471.17,74.52
安樂區,干城里,569,357525,628,532,357,783,434.57,69.16
安樂區,外寮里,1261,973221,772,599,365,991,644.88,83.56
安樂區,中崙里,540,525267,973,612,368,1045,3816.83,392.39
安樂區,內寮里,1765,1501887,851,626,381,1060,840.17,98.74
安樂區,西川里,341,217606,638,498,315,813,519.31,81.38
安樂區,新西里,379,253438,669,535,331,840,538.69,80.56
安樂區,新崙里,1321,1050345,795,603,382,994,683.26,85.93
安樂區,鶯歌里,1027,973227,948,691,427,1259,830.47,87.64
安樂區,三民里,847,587847,694,565,357,899,514.47,74.13
安樂區,四維里,1899,1675295,882,655,403,1168,764.86,86.70
安樂區,五福里,1246,927894,745,575,371,918,644.02,86.48
安樂區,六合里,1433,1191520,831,623,379,1066,729.18,87.70
安樂區,七賢里,892,684269,767,607,385,963,648.52,84.54
安樂區,長樂里,1313,1466045,1117,793,431,1413,1172.86,105.04
安樂區,武崙里,1578,1447302,917,691,427,1175,802.08,87.45
安樂區,興寮里,1544,1225787,794,627,382,1054,632.09,79.62
安樂區,鶯安里,1145,1118175,977,758,428,1299,833.41,85.34
安樂區,壯觀里,1563,1578719,1010,818,464,1347,790.27,78.24
安樂區,其他,1,395,395,395,395,395,0.00,0.00
安樂區,合計,23625,19799081,838,625,383,1063,939.42,112.10
信義區,仁壽里,421,367411,873,633,364,1115,836.97,95.90
信義區,仁義里,497,461221,928,644,402,1146,937.38,101.01
信義區,義幸里,859,695070,809,582,335,1009,771.63,95.36
信義區,義民里,241,178512,741,576,325,960,637.92,86.12
信義區,義和里,434,310177,715,526,330,917,610.90,85.48
信義區,智慧里,244,219292,899,672,389,1137,738.41,82.16
信義區,智誠里,423,283585,670,531,358,834,586.18,87.44
信義區,禮儀里,552,442099,801,586,363,998,731.81,91.37
信義區,禮東里,567,520257,918,621,390,1100,1033.35,112.62
信義區,信綠里,757,605302,800,593,366,1017,725.42,90.72
信義區,孝岡里,429,321817,750,608,360,987,579.78,77.29
信義區,孝深里,1053,670075,636,519,328,821,469.49,73.78
信義區,東光里,621,457985,737,565,357,963,658.75,89.32
信義區,東安里,965,757942,785,591,383,969,711.19,90.55
信義區,義昭里,441,507379,1151,812,398,1483,1239.80,107.76
信義區,東明里,1221,945218,774,579,364,993,705.13,91.09
信義區,東信里,1412,1217775,862,652,373,1133,766.36,88.86
信義區,孝賢里,1173,929847,793,612,390,1012,652.37,82.30
信義區,孝德里,769,507808,660,559,349,840,457.29,69.25
信義區,孝忠里,2228,2043330,917,673,408,1183,848.63,92.53
信義區,其他,1,248,248,248,248,248,0.00,0.00
信義區,合計,15308,12442349,813,604,367,1037,756.05,93.02
其他,其他,12,16534,1378,766,514,2097,1161.72,84.31
其他,合計,12,16534,1378,766,514,2097,1161.72,84.31
