鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
北區,賴興里,1361,1196430,879,617,359,1084,1293.76,147.17
北區,賴明里,1260,1074509,853,565,326,1022,1191.59,139.73
北區,錦祥里,1038,855196,824,560,336,998,983.05,119.32
北區,建德里,1037,817352,788,563,315,968,1292.19,163.94
北區,崇德里,1150,1135363,987,663,353,1249,1099.92,111.41
北區,賴旺里,1240,998580,805,572,321,991,940.67,116.81
北區,明新里,877,740194,844,555,327,961,1785.62,211.57
北區,立人里,1155,974867,844,628,354,1080,805.3,95.41
北區,賴福里,1313,1624193,1237,764,407,1454,1807.5,146.12
北區,梅川里,1035,1064815,1029,665,353,1212,1328.41,129.12
北區,錦平里,627,574641,916,611,345,1246,897.24,97.9
北區,中正里,434,381175,878,595,345,1160,832.17,94.75
北區,大湖里,502,332540,662,501,287,833,607.67,91.73
北區,六合里,491,367509,748,530,281,1022,739.11,98.75
北區,其他,1,592,592,592,592,592,0,0
北區,合計,39624,37143374,937,604,337,1090,4280.55,456.64
西屯區,西安里,1648,1791130,1087,684,376,1283,2775.2,255.34
西屯區,西墩里,1650,1965351,1191,691,366,1356,2117.17,177.75
西屯區,潮洋里,1663,2227090,1339,792,400,1643,1850.8,138.2
西屯區,龍潭里,229,183936,803,547,361,949,764.63,95.2
西屯區,惠來里,4971,11717165,2357,1042,474,2342,6450.26,273.65
西屯區,何安里,1817,1728006,951,638,349,1168,1075.21,113.06
西屯區,何厝里,1086,1048311,965,549,328,994,5680.85,588.51
西屯區,上石里,1712,1651902,965,719,387,1262,894.19,92.67
西屯區,大河里,1294,1096797,848,577,326,998,970.63,114.51
西屯區,大石里,581,402491,693,525,302,927,582.48,84.08
西屯區,港尾里,1522,1291455,849,602,340,1092,874.13,103.02
西屯區,廣福里,722,579724,803,588,340,1008,803.07,100.02
西屯區,林厝里,1115,1550009,1390,723,399,1620,2391.12,172.01
