鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
西螺鎮,振興里,298,226435,760,595,359,934,649.57,85.49
西螺鎮,大園里,386,287553,745,570,343,970,646.50,86.78
西螺鎮,廣福里,554,433561,783,615,357,1014,702.50,89.76
西螺鎮,正興里,768,625658,815,638,372,1031,731.44,89.78
西螺鎮,永安里,92,62305,677,550,312,989,462.22,68.25
西螺鎮,中和里,149,109285,733,553,319,913,663.81,90.51
西螺鎮,福興里,142,103449,729,546,323,1005,724.90,99.50
西螺鎮,光華里,251,223180,889,688,416,1159,734.21,82.57
西螺鎮,新安里,207,141459,683,574,345,947,470.68,68.88
西螺鎮,新豐里,246,164687,669,510,277,907,642.02,95.90
西螺鎮,中興里,656,514444,784,616,378,1003,648.82,82.74
西螺鎮,漢光里,1009,716324,710,587,343,920,552.80,77.87
西螺鎮,詔安里,204,161681,793,577,336,1025,707.78,89.30
西螺鎮,河南里,195,149894,769,643,327,895,676.60,88.02
西螺鎮,安定里,297,239059,805,629,388,973,717.29,89.11
西螺鎮,福田里,221,153866,696,547,326,878,596.24,85.64
西螺鎮,吳厝里,191,115135,603,500,273,809,487.40,80.86
西螺鎮,九隆里,133,101906,766,631,363,977,597.93,78.04
西螺鎮,下湳里,119,84068,706,582,395,924,489.88,69.34
西螺鎮,七座里,147,102236,695,549,329,781,1116.08,160.48
西螺鎮,公館里,232,152277,656,494,314,864,571.53,87.07
西螺鎮,大新里,259,188694,729,597,360,852,600.20,82.38
西螺鎮,埤頭里,147,124020,844,611,372,915,1134.25,134.44
西螺鎮,廣興里,170,133262,784,624,328,1049,649.56,82.86
西螺鎮,東興里,182,119266,655,549,319,779,531.29,81.08
西螺鎮,頂湳里,156,109131,700,520,332,900,627.73,89.73
西螺鎮,鹿場里,329,219735,668,529,357,856,555.07,83.11
西螺鎮,其他,0,0,0,0,0,0,0.00,0.00
西螺鎮,合計,7740,5762570,745,583,347,947,661.49,88.85
土庫鎮,忠正里,220,179182,814,648,378,943,738.43,90.66
土庫鎮,順天里,234,175352,749,588,350,929,661.48,88.27
土庫鎮,宮北里,349,301344,863,631,388,1033,985.06,114.08
土庫鎮,越港里,289,229107,793,606,382,1058,597.50,75.37
土庫鎮,溪邊里,220,146896,668,530,318,920,527.62,79.02
土庫鎮,興新里,331,251842,761,584,342,981,745.76,98.02
土庫鎮,奮起里,214,158867,742,544,323,871,752.17,101.32
土庫鎮,埤腳里,235,158581,675,512,319,824,675.88,100.16
土庫鎮,大荖里,174,138941,799,518,344,953,758.03,94.93
土庫鎮,石廟里,703,545733,776,618,387,1012,601.01,77.42
土庫鎮,東平里,382,278116,728,542,328,913,625.63,85.93
土庫鎮,南平里,363,245085,675,537,336,840,598.30,88.62
土庫鎮,西平里,359,238221,664,555,335,831,489.57,73.78
土庫鎮,北平里,186,135706,730,574,325,919,644.48,88.33
土庫鎮,後埔里,464,309801,668,538,313,813,552.21,82.71
土庫鎮,崙內里,246,167902,683,527,314,798,806.58,118.17
土庫鎮,新庄里,258,188413,730,537,359,872,697.14,95.46
土庫鎮,其他,0,0,0,0,0,0,0.00,0.00
土庫鎮,合計,5227,3849090,736,564,347,916,673.66,91.48
北港鎮,東陽里,176,121026,688,552,325,867,601.26,87.44
北港鎮,光民里,159,114880,723,554,352,851,642.08,88.87
北港鎮,東華里,113,88451,783,561,298,906,793.50,101.37
北港鎮,南安里,215,189632,882,629,352,990,1088.71,123.44
北港鎮,中和里,93,70238,755,517,339,962,686.61,90.91
北港鎮,義民里,106,73957,698,580,336,899,629.98,90.29
北港鎮,共榮里,123,93151,757,490,241,883,842.20,111.21
