鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
壯圍鄉,功勞村,324,255227,788,600,377,1029,649.08,82.4
壯圍鄉,永鎮村,149,83747,562,461,279,729,444.62,79.11
壯圍鄉,過嶺村,319,207339,650,493,315,762,631.44,97.15
壯圍鄉,美城村,538,415653,773,565,339,911,752.51,97.4
壯圍鄉,古亭村,406,278813,687,542,306,875,557.62,81.2
壯圍鄉,古結村,282,205735,730,577,350,867,637.71,87.41
壯圍鄉,其他,0,0,0,0,0,0,0,0
壯圍鄉,合計,5080,3568795,703,544,327,864,673.27,95.84
員山鄉,員山村,1667,1379987,828,604,357,988,1628.19,196.68
員山鄉,尚德村,581,426766,735,580,354,886,698.37,95.08
員山鄉,內城村,352,243626,692,474,294,755,1860.63,268.83
員山鄉,惠好村,406,299164,737,593,349,902,606.96,82.37
員山鄉,深溝村,481,536620,1116,554,314,928,5437.1,487.36
員山鄉,蓁巷村,292,196445,673,488,300,843,1103.33,164
員山鄉,七賢村,337,259626,770,553,336,875,948.33,123.1
員山鄉,永和村,447,288626,646,512,300,795,539.51,83.56
員山鄉,枕山村,524,393280,751,545,324,876,885.72,118.01
員山鄉,頭分村,376,241717,643,507,317,738,554.56,86.26
員山鄉,同樂村,587,368179,627,478,312,811,547.12,87.23
員山鄉,湖東村,204,137603,675,508,333,816,623.95,92.5
員山鄉,湖西村,274,190738,696,493,302,809,817.59,117.45
員山鄉,逸仙村,217,161688,745,542,319,915,714.22,95.85
員山鄉,湖北村,251,179725,716,485,290,767,1511.32,211.07
員山鄉,中華村,112,83928,749,445,269,732,1714.69,228.82
員山鄉,其他,0,0,0,0,0,0,0,0
員山鄉,合計,7108,5387718,758,538,325,880,1803.15,237.89
羅東鎮,成功里,478,384474,804,622,344,992,748.28,93.03
羅東鎮,北成里,883,829120,939,658,383,1191,935.39,99.62
羅東鎮,仁愛里,1166,966853,829,599,358,1033,762.97,92.01
羅東鎮,竹林里,941,739607,786,601,357,962,731.73,93.1
羅東鎮,賢文里,1172,957009,817,604,341,1006,1054.75,129.17
羅東鎮,東安里,1135,865318,762,609,351,978,633.86,83.14
